states,states_code,id,year,population,pop_growth
West Virginia,WV,54,2013,1853914,-0.159300156
West Virginia,WV,54,2014,1849489,-0.238684211
West Virginia,WV,54,2015,1842050,-0.402219208
West Virginia,WV,54,2016,1831023,-0.59862653
West Virginia,WV,54,2017,1817004,-0.76563757
West Virginia,WV,54,2018,1804291,-0.699668245
West Virginia,WV,54,2019,1792147,-0.673062161
Wisconsin,WI,55,2010,5690475,
Wisconsin,WI,55,2011,5705288,0.260312188
Wisconsin,WI,55,2012,5719960,0.257164932
Wisconsin,WI,55,2013,5736754,0.293603452
Wisconsin,WI,55,2014,5751525,0.257480101
Wisconsin,WI,55,2015,5760940,0.163695715
Wisconsin,WI,55,2016,5772628,0.202883557
Wisconsin,WI,55,2017,5790186,0.304159561
Wisconsin,WI,55,2018,5807406,0.297399773
Wisconsin,WI,55,2019,5822434,0.258773022
Wyoming,WY,56,2010,564487,
Wyoming,WY,56,2011,567299,0.498151419
Wyoming,WY,56,2012,576305,1.587522629
Wyoming,WY,56,2013,582122,1.009361362
Wyoming,WY,56,2014,582531,0.070260186
Wyoming,WY,56,2015,585613,0.529070556
Wyoming,WY,56,2016,584215,-0.238724209
Wyoming,WY,56,2017,578931,-0.904461542
Wyoming,WY,56,2018,577601,-0.229733768
Wyoming,WY,56,2019,578759,0.200484417
